id,name,duration,popularity,explicit,lead_artist_id,lead_artist_name,album_id,album_name,album_art_link,played_at
06KyNuuMOX1ROXRhj787tj,We Don't Talk Anymore (feat. Selena Gomez),217706,85,False,6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,5Nwsra93UQYJ6xxcjcE10x,Nine Track Mind,https://i.scdn.co/image/ab67616d00001e02633a2d775747bccfbcb17a45,2023-07-21 18:40:31.582
6Zl92xH7GCIf0s3y4oL9xu,Madelyne,135584,63,False,2pQzh5cuuqpDErGZNaOULd,gavn!,4v8NFqHsKls8IlWvyoezUC,Madelyne,https://i.scdn.co/image/ab67616d00001e02f449955634f0039b719f3f67,2023-07-21 18:42:40.811
29kUiQdEvB9q7joHiYZNJ3,I Ain’t Worried - Acoustic,149233,67,False,5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,7lR2Xqpmvr2r05DQENflBG,"I Ain’t Worried - Acoustic (Music From The Motion Picture ""Top Gun: Maverick"")",https://i.scdn.co/image/ab67616d00001e020884a5ab3882152b208f506c,2023-07-21 18:45:03.263
4Dvkj6JhhA12EX05fT7y2e,As It Was,167303,93,False,6KImCVD70vtIoJWnq6nGn3,Harry Styles,5r36AJ6VOJtp00oxSkBZ5h,Harry's House,https://i.scdn.co/image/ab67616d00001e022e8ed79e177ff6011076f5f0,2023-07-21 18:50:45.436
3T03rPwlL8NVk1yIaxeD8U,Off My Face,156467,79,False,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,5dGWwsZ9iB2Xc3UKR0gif2,Justice,https://i.scdn.co/image/ab67616d00001e02e6f407c7f3a0ec98845e4431,2023-07-21 18:53:14.968
2MRfEJTfX12xPY0vx4STNe,No More Drama,140041,59,False,6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,5Jk4Eg7pxYhDrWJCVVzmMt,CHARLIE,https://i.scdn.co/image/ab67616d00001e0235d2e0ed94a934f2cc46fa49,2023-07-21 18:55:46.375
42nDnUAPjhZFlj5wt2BjJm,Light Switch - Acoustic,186295,52,False,6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,0H6pdORxZ735HztupqklPx,Light Switch (Acoustic),https://i.scdn.co/image/ab67616d00001e021e4e622ec0e15b737c4c604d,2023-07-21 19:06:38.845
1Y3LN4zO1Edc2EluIoSPJN,Until I Found You (with Em Beihold) - Em Beihold Version,176440,93,False,5XKFrudbV4IiuE5WuTPRmT,Stephen Sanchez,7ARtQpvnPN2ucbmVHngLOs,Until I Found You (Em Beihold Version),https://i.scdn.co/image/ab67616d00001e022bf0876d42b90a8852ad6244,2023-07-21 19:09:29.277
2vjX1VkntJPIQkqwbJQvoa,do u really?,161120,58,False,4pfy05cNNTacuOQ6SiSu4v,Lyn Lapid,18pzJc8GyrVQmunRXrY3ch,to love in the 21st century,https://i.scdn.co/image/ab67616d00001e02c6497369a38af8968e93168e,2023-07-21 19:12:03.370
0oBDJWGnTJs9C0Ax90tMj0,Militerian (feat. Naira Marley),193600,72,True,2a0uxJgbvvIRI4GX8pYfcr,J Hus,766bxryPZBL0hjz0KM6VUD,Beautiful And Brutal Yard,https://i.scdn.co/image/ab67616d00001e02cc16159b40907722da91078c,2023-07-22 16:40:03.473
3YPtN5X0HxIzeRCHxfoXTy,Mogbe,178947,70,False,3a1tBryiczPAZpgoZN9Rzg,Asake,2O9VJaLSnwjZ2HPpMaVoPU,Work Of Art,https://i.scdn.co/image/ab67616d00001e027e2b5827ffc185e44c3e6ef0,2023-07-22 16:46:09.396
0sHyVWNc3nfxAYOTOwOlPx,Balance,181840,59,False,3tVQdUvClmAT7URs9V3rsp,Wizkid,73rKiFhHZatrwJL0B1F6hY,"More Love, Less Ego",https://i.scdn.co/image/ab67616d00001e02e944c571fca9ea470ebb5821,2023-07-22 16:49:04.440
1DA2ADZs6O28y2rmdmpekw,2 Sugar (feat. Ayra Starr),187906,74,False,3tVQdUvClmAT7URs9V3rsp,Wizkid,73rKiFhHZatrwJL0B1F6hY,"More Love, Less Ego",https://i.scdn.co/image/ab67616d00001e02e944c571fca9ea470ebb5821,2023-07-22 16:56:52.652
2wgvxtggKVzPkl0smF2UzI,Organise,123716,69,False,3a1tBryiczPAZpgoZN9Rzg,Asake,0lzPMIAYhhUSD2BPT0VQWI,Mr. Money With The Vibe,https://i.scdn.co/image/ab67616d00001e021ee6732ccb8f07bd15b33beb,2023-07-22 16:58:57.914
3WpcyBBiFVZ66DfWH0xXjm,Duffel Bag,127067,62,False,1XavfPKBpNjkOfxHINlMHF,Joeboy,1TGcgugu0CxUp5rhS7SyCW,Body & Soul,https://i.scdn.co/image/ab67616d00001e02f2ea2619528f10fa2e503c15,2023-07-22 17:00:58.482
5UwxpuGHkwiojKDaPC5ZNu,Joha,148000,72,False,3a1tBryiczPAZpgoZN9Rzg,Asake,0lzPMIAYhhUSD2BPT0VQWI,Mr. Money With The Vibe,https://i.scdn.co/image/ab67616d00001e021ee6732ccb8f07bd15b33beb,2023-07-22 17:06:25.438
2AaZJAh9FifPCQdba87Hzr,Body & Soul,154455,63,False,1XavfPKBpNjkOfxHINlMHF,Joeboy,1TGcgugu0CxUp5rhS7SyCW,Body & Soul,https://i.scdn.co/image/ab67616d00001e02f2ea2619528f10fa2e503c15,2023-07-22 17:08:53.307
0lWW0X74IvjNlgY5glykvY,Many Ways (feat. Wizkid),227328,59,True,3zaDigUwjHvjOkSn0NDf9x,Bnxn,0Uf8CLgcWoLrYwmBcp0pio,Bad Since '97,https://i.scdn.co/image/ab67616d00001e020c32aba773efcea7c8389063,2023-07-22 17:12:34.438
6Y22KIQd0RSREshosQvN2B,I Wish (feat. Libianca),163813,65,False,3NbqBIc16CNAe5nYSmHR3p,JAE5,1UMJ7lsAe3c4PhvaB3BA2o,I Wish (feat. Libianca),https://i.scdn.co/image/ab67616d00001e02d833bf9ecddb107692246376,2023-07-22 17:15:11.419
